tetta M11 M12/M11 M21/M11 M22/M11 M33/M11 M34/M11 M43/M11 M44/M11
67 534.97 -0.0761033 -0.0760935 0.721288 0.601689 -0.147315 0.147321 0.845944
68 518.683 -0.0777253 -0.077731 0.715715 0.593467 -0.156806 0.15683 0.842837
69 544.719 -0.0744644 -0.074462 0.706445 0.584424 -0.151503 0.151462 0.842437
70 515.784 -0.0751497 -0.0751334 0.696846 0.574374 -0.155242 0.155283 0.840307
71 540.492 -0.0725195 -0.0725305 0.686959 0.564085 -0.150278 0.150242 0.839572
72 522.117 -0.071012 -0.0710213 0.670111 0.549065 -0.14255 0.14256 0.839346
73 518.106 -0.0734452 -0.0734493 0.678802 0.551656 -0.161603 0.161612 0.834091
74 509.073 -0.0702491 -0.0702133 0.652428 0.529158 -0.142446 0.142448 0.835643
75 519.578 -0.0704876 -0.0705172 0.654039 0.526659 -0.152031 0.152008 0.832017
76 494.059 -0.0700341 -0.07002 0.637607 0.510754 -0.144622 0.144693 0.830851
77 473.329 -0.0736194 -0.0736461 0.641104 0.508998 -0.155215 0.155184 0.825528
78 488.265 -0.0714984 -0.0714836 0.633443 0.498731 -0.154796 0.154779 0.823363
79 464.957 -0.0723196 -0.0723183 0.618852 0.483471 -0.148812 0.148812 0.820955
80 465.326 -0.0740141 -0.0740374 0.622038 0.479797 -0.158586 0.158557 0.81526
81 437.148 -0.076119 -0.0761059 0.605424 0.46092 -0.151411 0.151453 0.811493
82 437.491 -0.0781734 -0.078175 0.611819 0.459388 -0.162842 0.162812 0.804683
83 410.176 -0.0812607 -0.0812584 0.595807 0.440221 -0.15641 0.156442 0.799754
84 408.136 -0.0839366 -0.0839349 0.601457 0.43633 -0.168825 0.168821 0.791543
85 379.078 -0.0887925 -0.0887826 0.582529 0.412105 -0.161699 0.161689 0.784549
86 365.035 -0.0932462 -0.0932502 0.576502 0.39763 -0.165545 0.165553 0.775976
87 364.717 -0.0943073 -0.0942966 0.585002 0.396686 -0.180526 0.180514 0.768183
88 340.161 -0.0998937 -0.0998941 0.567535 0.372237 -0.173318 0.173322 0.759918
89 343.252 -0.1001 -0.100104 0.58123 0.377259 -0.188535 0.188558 0.753122
90 323.099 -0.105129 -0.105153 0.551294 0.341776 -0.175008 0.17496 0.746315
91 321.259 -0.107907 -0.107892 0.580011 0.357934 -0.193342 0.193369 0.736226
92 297.12 -0.115034 -0.115032 0.564196 0.333287 -0.183907 0.183902 0.725964
93 303.081 -0.113792 -0.113805 0.570933 0.331875 -0.193564 0.193549 0.719889
94 277.138 -0.123628 -0.12362 0.568024 0.31596 -0.185729 0.185755 0.705705
95 269.38 -0.126984 -0.127 0.562479 0.300553 -0.183619 0.183585 0.695977
96 272.57 -0.12665 -0.12662 0.586899 0.314873 -0.196051 0.196102 0.688333
97 251.881 -0.137981 -0.13802 0.579219 0.290294 -0.184057 0.184016 0.67021
98 255.762 -0.135301 -0.135285 0.610908 0.311838 -0.198645 0.198658 0.66317
99 234.88 -0.140421 -0.140392 0.595186 0.281851 -0.185567 0.185547 0.647087
100 241.185 -0.135846 -0.135877 0.620586 0.298569 -0.196593 0.196607 0.641483
101 221.783 -0.146037 -0.146021 0.609685 0.268329 -0.180625 0.180638 0.620744
102 228.943 -0.139155 -0.139154 0.635267 0.288747 -0.191594 0.191577 0.618922
103 210.486 -0.149827 -0.149818 0.624272 0.257347 -0.173495 0.173548 0.597654
104 205.814 -0.151413 -0.151411 0.628782 0.248062 -0.168547 0.168515 0.584722
105 213.063 -0.14324 -0.143249 0.648232 0.267263 -0.174178 0.174178 0.587622
106 195.655 -0.154887 -0.154886 0.636888 0.231289 -0.153649 0.153669 0.56219
107 205.566 -0.145019 -0.145046 0.658911 0.256606 -0.15867 0.15863 0.568249
108 188.164 -0.156424 -0.156415 0.647545 0.22106 -0.135906 0.135927 0.542961
109 196.707 -0.146995 -0.146957 0.667711 0.245584 -0.137224 0.13722 0.549664
110 181.854 -0.158642 -0.158721 0.660378 0.214488 -0.11437 0.11437 0.524107
111 190.792 -0.147147 -0.147125 0.67845 0.242358 -0.111648 0.111663 0.536035
112 176.55 -0.159108 -0.159139 0.671052 0.21219 -0.0851907 0.0852018 0.511242
113 174.427 -0.159275 -0.159258 0.676877 0.213213 -0.067454 0.0674481 0.506542
114 186.18 -0.144709 -0.144716 0.692008 0.250513 -0.0515859 0.0515928 0.5304
115 172.742 -0.157797 -0.157845 0.684455 0.22061 -0.00634996 0.0063551 0.50611
116 164.508 -0.195696 -0.195672 0.676576 0.180414 0.0501115 -0.0501255 0.472214
117 139.769 -0.246628 -0.246565 0.650917 0.0725583 0.0700666 -0.070074 0.385277
118 141.159 -0.25698 -0.256917 0.654374 0.0561063 0.0768953 -0.0769149 0.366692
119 133.234 -0.266248 -0.266369 0.646266 0.0120912 0.0864129 -0.0863783 0.330526
120 134.467 -0.269026 -0.269094 0.647927 -0.00861805 0.0901367 -0.090094 0.310907
121 123.798 -0.255792 -0.255709 0.625959 -0.0547371 0.103535 -0.103596 0.284192
122 122.794 -0.25339 -0.253432 0.618396 -0.0811236 0.110387 -0.110338 0.26429
123 125.606 -0.252246 -0.252149 0.616354 -0.0891272 0.114003 -0.114073 0.258173
124 122.322 -0.246938 -0.246911 0.602868 -0.117001 0.12057 -0.120564 0.241399
125 125.149 -0.247492 -0.247625 0.597663 -0.132584 0.120938 -0.120876 0.23044
126 123.372 -0.24037 -0.24036 0.582894 -0.156086 0.129205 -0.129231 0.2198
127 126.555 -0.238762 -0.238834 0.575936 -0.169867 0.126654 -0.126618 0.211715
128 125.028 -0.231357 -0.231307 0.557005 -0.191996 0.130114 -0.130119 0.205805
129 128.785 -0.23074 -0.230569 0.546519 -0.211013 0.130092 -0.130192 0.196388
130 127.769 -0.221916 -0.222001 0.524111 -0.230257 0.129705 -0.129656 0.196609
131 130.377 -0.218652 -0.218808 0.506909 -0.251501 0.130705 -0.130618 0.191167
132 134.051 -0.217169 -0.217129 0.489477 -0.270285 0.125861 -0.125891 0.187739
133 133.837 -0.21257 -0.212584 0.458915 -0.29902 0.123626 -0.123614 0.185709
134 138.973 -0.211842 -0.211603 0.444743 -0.315696 0.121335 -0.121463 0.182653
135 139.569 -0.206725 -0.20686 0.409732 -0.341249 0.113111 -0.113038 0.189892
136 145.663 -0.205613 -0.205499 0.392898 -0.358479 0.10606 -0.106124 0.186406
137 148.564 -0.200683 -0.200761 0.36254 -0.373857 0.101923 -0.101888 0.20008
138 155.473 -0.201596 -0.20182 0.341903 -0.392036 0.0914016 -0.0912825 0.201313
139 158.678 -0.201241 -0.201249 0.313245 -0.405442 0.0821738 -0.0821618 0.214134
140 166.105 -0.205042 -0.204936 0.293976 -0.417442 0.0739463 -0.0740041 0.222964
141 175.737 -0.215138 -0.215169 0.283205 -0.423901 0.0620444 -0.0620292 0.227548
142 186.547 -0.236798 -0.23671 0.277568 -0.420463 0.0483484 -0.0483975 0.237355
143 196.964 -0.239982 -0.240049 0.266377 -0.407951 0.0356207 -0.0355844 0.261479
144 202.844 -0.231968 -0.231933 0.239847 -0.399028 0.0192319 -0.0192498 0.29582
145 211.735 -0.221634 -0.221618 0.22233 -0.395178 0.00312738 -0.00313359 0.316785
146 216.637 -0.209206 -0.209233 0.193559 -0.39763 -0.0143861 0.0143939 0.343796
147 225.036 -0.196306 -0.196339 0.180364 -0.396681 -0.0313156 0.0313307 0.357058
148 233.051 -0.180756 -0.180647 0.160073 -0.389122 -0.0494462 0.0493989 0.381273
149 238.103 -0.165674 -0.16585 0.143835 -0.399866 -0.0699497 0.070032 0.388425
150 237.382 -0.150592 -0.150406 0.134778 -0.418522 -0.0914626 0.0913759 0.384608
151 242.051 -0.130745 -0.130835 0.133927 -0.410757 -0.11566 0.115705 0.394068
152 250.382 -0.110338 -0.110267 0.166454 -0.380953 -0.145287 0.145244 0.391682
153 260.329 -0.080795 -0.0807591 0.224369 -0.315637 -0.193503 0.193492 0.399775
154 253.119 -0.0669197 -0.0670355 0.244466 -0.338101 -0.219376 0.219434 0.352376
155 240.608 -0.0570713 -0.0571057 0.245655 -0.366678 -0.226855 0.226857 0.315968
156 228.734 -0.048256 -0.0481957 0.247282 -0.402963 -0.223418 0.223387 0.271749
157 214.242 -0.0389873 -0.0389711 0.227665 -0.446787 -0.208425 0.208417 0.238314
158 203.804 -0.0297858 -0.0297807 0.211818 -0.485828 -0.193192 0.193202 0.207137
159 194.192 -0.0223114 -0.0223409 0.188912 -0.538274 -0.166679 0.166737 0.168605
160 182.586 -0.0131206 -0.0131333 0.142279 -0.595782 -0.137918 0.137892 0.147055
161 177.987 -0.00416899 -0.00413932 0.109549 -0.645271 -0.107471 0.107442 0.123028
162 172.717 0.00576539 0.00588773 0.0592138 -0.697109 -0.0785252 0.0783998 0.113085
163 174.293 0.0170476 0.0169661 0.0341394 -0.728893 -0.0657617 0.0658295 0.103805
164 177.769 0.0295582 0.0295698 0.0136012 -0.741069 -0.0663575 0.0663575 0.110104
165 184.607 0.0405037 0.0404752 0.0122794 -0.753279 -0.0662961 0.0662778 0.100088
166 189.199 0.0535416 0.0535502 -0.00843691 -0.759902 -0.0675393 0.0676132 0.113132
167 196.92 0.0653449 0.065347 -0.0139215 -0.766166 -0.0680009 0.0680008 0.11307
168 206.612 0.0767482 0.0767809 -0.0179058 -0.771268 -0.0683019 0.0682281 0.113443
169 216.445 0.0892762 0.0893155 -0.0303761 -0.773504 -0.0690402 0.0689743 0.124537
170 230.721 0.100901 0.100811 -0.032751 -0.775814 -0.0690019 0.0691686 0.126831
171 246.017 0.113259 0.11313 -0.0419947 -0.774542 -0.0698158 0.0699522 0.138513
172 268.142 0.124726 0.124788 -0.0421604 -0.773665 -0.0703067 0.0702454 0.141892
173 294.775 0.137392 0.13758 -0.0571882 -0.769293 -0.0715473 0.0712935 0.162378
174 333.353 0.149193 0.149056 -0.0592406 -0.766185 -0.0721152 0.072259 0.169739
175 385.357 0.161618 0.1617 -0.0744823 -0.759317 -0.0738449 0.073755 0.192564
176 465.792 0.173904 0.173802 -0.0860093 -0.752379 -0.0754887 0.0756245 0.211802
177 603.25 0.185432 0.185485 -0.0996661 -0.744181 -0.0774034 0.0773332 0.233903
178 875.733 0.197715 0.197789 -0.120998 -0.73384 -0.0799231 0.0798363 0.264584
179 1705.85 0.209053 0.209061 -0.139321 -0.723201 -0.0827857 0.0827872 0.291978
179.75 6696.13 0.19774 0.197587 -0.132524 -0.682295 -0.0756604 0.0758164 0.324926
